player_id,player_name,first_serve_pct,first_serve_win_pct,second_serve_win_pct,ace_rate,df_rate,bp_save_pct,service_pts_won_pct,return_pts_won_pct,dominance_ratio,wins,total_matches,aces,dfs,rank,rank_points,height,hand,ioc,win_pct,cluster_kmeans,archetype,pca_x,pca_y
100644,Alexander Zverev,0.6665232350403889,0.751074249752952,0.516486973641181,0.110461612873422,0.0457137404143422,0.6065436999921452,0.6725203221397758,0.3858637199278789,1.8169680317721353,449,645,5514.0,2434.0,2.0,8240.0,198.0,R,GER,0.6961240310077519,0,All-Court Elite,1.812724164353363,-1.3372466009527666
101736,Andre Agassi,0.5898589248274605,0.7482651819927791,0.5596082569184442,0.087199941030607,0.0326087499049376,0.6744733030914171,0.6684284672102854,0.3999594061270256,1.736921165058593,48,67,465.0,182.0,5.0,2275.0,180.0,R,USA,0.7164179104477612,0,All-Court Elite,2.34807350080624,-2.720327712443785
101885,Wayne Arthurs,0.5630031765160524,0.8151273805701784,0.5463739791557378,0.1961609974310276,0.0610365214924332,0.6393027810737447,0.6978112240238348,0.2989100287752645,2.5006394244841457,27,56,949.0,288.0,63.0,583.0,190.0,L,AUS,0.4821428571428571,2,Big Servers,6.803302866535106,2.6051916824653487
102035,Jonas Bjorkman,0.5823464083840983,0.7004600739338509,0.4860642414407572,0.0554573367489908,0.0437434406437966,0.5546615672912112,0.6114249829742934,0.3785521630712881,1.716382443744541,56,128,547.0,425.0,29.0,1013.0,183.0,R,SWE,0.4375,1,Grinders,-1.183142406391771,0.34029754224283976
102106,Davide Sanguinetti,0.5758228420796505,0.6927670073755288,0.4854583350031259,0.0621321301129013,0.0252204677548778,0.5546802997484112,0.6058119787482815,0.3609430318583019,1.7577661039051755,41,99,506.0,193.0,42.0,809.0,188.0,R,ITA,0.4141414141414141,1,Grinders,-1.0623293142354022,0.03537612634161373
102148,Fabrice Santoro,0.5735602371997325,0.687650280340316,0.5140662006646511,0.054012597737942,0.0224484662425158,0.5748941143647026,0.6135415730870671,0.3791074129582974,1.7153093463171432,93,192,811.0,337.0,34.0,1418.0,178.0,R,FRA,0.484375,0,All-Court Elite,-0.8249476253973849,-1.179693400652393
102179,Antony Dupuis,0.5936900288457706,0.7121580402757992,0.5380870765983804,0.0903531042587344,0.0297670105726669,0.616948377293205,0.6383416821533995,0.3394873434587894,1.973942557058828,13,31,212.0,69.0,76.0,503.0,185.0,R,FRA,0.4193548387096774,0,All-Court Elite,1.7837277462630858,-0.5675731340767612
102202,Kenneth Carlsen,0.6102461290633462,0.720530913682148,0.4873900680659574,0.0867933212213519,0.0319171965658779,0.6033284934020228,0.6281313691224956,0.3274130743037128,2.0161216471901566,30,74,490.0,179.0,50.0,730.0,190.0,L,DEN,0.4054054054054054,0,All-Court Elite,1.1498304542508746,0.6809190567789016
102257,Greg Rusedski,0.5848010751059153,0.7404423496074,0.5159765259459392,0.1097754928992686,0.0680674426784591,0.6465265663026857,0.6464958803984301,0.3145703307898265,2.2459672664632637,33,69,590.0,374.0,29.0,1063.0,193.0,L,GBR,0.4782608695652174,2,Big Servers,3.3215023085207087,2.403340049794004
102287,Albert Portas,0.5348040353926041,0.6965646951766198,0.452837824155855,0.070551769352565,0.046967175884875,0.5584928512347866,0.581915916647587,0.3664848124183067,1.6859328502424322,11,31,153.0,104.0,85.0,481.0,188.0,R,ESP,0.3548387096774194,1,Grinders,-1.7187008513208293,2.00492716880696
