player_id,player_name,first_serve_pct,first_serve_win_pct,second_serve_win_pct,ace_rate,df_rate,bp_save_pct,service_pts_won_pct,return_pts_won_pct,dominance_ratio,wins,total_matches,aces,dfs,rank,rank_points,height,hand,ioc,win_pct
100644,Alexander Zverev,0.6665232350403889,0.751074249752952,0.516486973641181,0.11046161287342202,0.04571374041434223,0.6065436999921452,0.6725203221397758,0.38586371992787893,1.8169680317721353,449,645,5514.0,2434.0,2.0,8240.0,198.0,R,GER,0.6961240310077519
101404,Thomas Muster,0.6055289739500266,0.5807471264367816,0.39840551605257485,0.06034024455077086,0.045188729399255716,0.45726495726495725,0.511164274322169,0.31229489464783583,1.792855066516193,0,3,11.0,8.0,974.0,7.0,180.0,L,AUT,0.0
101736,Andre Agassi,0.5898589248274605,0.7482651819927791,0.5596082569184442,0.08719994103060708,0.03260874990493769,0.6744733030914171,0.6684284672102854,0.39995940612702563,1.736921165058593,48,67,465.0,182.0,5.0,2275.0,180.0,R,USA,0.7164179104477612
101868,Dick Norman,0.6119399728296322,0.725428094772644,0.4776546617574421,0.13544573602453755,0.07628283833568156,0.6241997755188999,0.6298210496766262,0.3218876871222535,2.0599025229360204,9,29,329.0,178.0,90.0,442.0,203.0,L,BEL,0.3103448275862069
101885,Wayne Arthurs,0.5630031765160524,0.8151273805701784,0.5463739791557378,0.1961609974310276,0.06103652149243325,0.6393027810737447,0.6978112240238348,0.29891002877526457,2.5006394244841457,27,56,949.0,288.0,63.0,583.0,190.0,L,AUS,0.48214285714285715
101962,Younes El Aynaoui,0.6244269099006861,0.694164750044781,0.44331716198344523,0.07073835150494243,0.040197127086748975,0.5491324914401837,0.6004665776002592,0.3356215330672223,1.8182948962486238,10,26,136.0,73.0,134.0,336.0,193.0,R,MAR,0.38461538461538464
102035,Jonas Bjorkman,0.5823464083840983,0.7004600739338509,0.4860642414407572,0.05545733674899083,0.043743440643796684,0.5546615672912112,0.6114249829742934,0.37855216307128814,1.716382443744541,56,128,547.0,425.0,29.0,1013.0,183.0,R,SWE,0.4375
102093,Martin Damm,0.6596191716673645,0.7587755102040816,0.5495959595959596,0.21667106004455403,0.032425713148604714,0.4444444444444444,0.6858605593545352,0.33514282652213684,2.0679356062890197,2,3,42.0,6.0,204.0,296.0,203.0,L,USA,0.6666666666666666
102106,Davide Sanguinetti,0.5758228420796505,0.6927670073755288,0.4854583350031259,0.0621321301129013,0.025220467754877813,0.5546802997484112,0.6058119787482815,0.36094303185830195,1.7577661039051757,41,99,506.0,193.0,42.0,809.0,188.0,R,ITA,0.41414141414141414
102110,Daniel Nestor,0.475,0.7105263157894737,0.47619047619047616,0.1,0.0625,0.5714285714285714,0.5875,0.2545454545454545,2.3080357142857144,0,1,8.0,5.0,,,190.0,L,CAN,0.0
102143,Nicolas Thomann,0.5608969298245614,0.6873933305089874,0.5392328835582209,0.08141447368421052,0.026530701754385967,0.44227994227994233,0.6121118421052631,0.3530749201670351,1.7434887338538654,1,5,26.0,8.0,206.0,185.0,183.0,R,FRA,0.2
102148,Fabrice Santoro,0.5735602371997325,0.687650280340316,0.5140662006646511,0.054012597737942,0.02244846624251585,0.5748941143647026,0.6135415730870671,0.3791074129582974,1.7153093463171432,93,192,811.0,337.0,34.0,1418.0,178.0,R,FRA,0.484375
102179,Antony Dupuis,0.5936900288457706,0.7121580402757992,0.5380870765983804,0.09035310425873447,0.029767010572666924,0.616948377293205,0.6383416821533995,0.3394873434587894,1.9739425570588278,13,31,212.0,69.0,76.0,503.0,185.0,R,FRA,0.41935483870967744
102202,Kenneth Carlsen,0.6102461290633462,0.720530913682148,0.4873900680659574,0.08679332122135197,0.03191719656587797,0.6033284934020228,0.6281313691224956,0.3274130743037128,2.0161216471901566,30,74,490.0,179.0,50.0,730.0,190.0,L,DEN,0.40540540540540543
102227,Sargis Sargsian,0.5994079225775822,0.5848038805543001,0.3676378521659828,0.0312393538288143,0.08134227876809279,0.5184247376555069,0.49518691343779503,0.30364854058493107,1.6701571279502991,3,13,37.0,65.0,75.0,525.0,180.0,R,ARM,0.23076923076923078
102231,Alex Calatrava,0.6453414236645597,0.692231187198334,0.44584968963023136,0.07229107571388473,0.02529236808937313,0.5607115107115107,0.6074371768607143,0.3412828277068011,1.8447969652164475,6,26,144.0,51.0,77.0,489.0,190.0,R,ESP,0.23076923076923078
102233,Leander Paes,0.6,0.6666666666666666,0.4166666666666667,0.03333333333333333,0.0,0.42857142857142855,0.5666666666666667,0.27586206896551724,2.0541666666666667,0,1,2.0,0.0,,,178.0,R,IND,0.0
102257,Greg Rusedski,0.5848010751059153,0.7404423496074,0.5159765259459392,0.10977549289926865,0.06806744267845913,0.6465265663026857,0.6464958803984301,0.31457033078982655,2.2459672664632637,33,69,590.0,374.0,29.0,1063.0,193.0,L,GBR,0.4782608695652174
102269,Jeff Salzenstein,0.592684003571986,0.742902411013259,0.46460671391278047,0.11578471843970689,0.0661850117737709,0.5270566239316239,0.6310409750890921,0.336351573367181,1.9224020756780655,2,8,69.0,42.0,146.0,316.0,185.0,L,USA,0.25
102271,Hicham Arazi,0.559449866903283,0.5895238095238096,0.42592592592592593,0.03194321206743567,0.02040816326530612,0.5064935064935066,0.5143448683821354,0.2559954320517701,2.018251503499951,0,2,4.0,2.0,124.0,356.0,175.0,L,MAR,0.0
102282,Tetsuya Chaen,0.65,0.5384615384615384,0.7619047619047619,0.03333333333333333,0.03333333333333333,0.5,0.6166666666666667,0.1836734693877551,3.357407407407407,0,1,2.0,2.0,625.0,33.0,,R,JPN,0.0
102287,Albert Portas,0.5348040353926041,0.6965646951766198,0.452837824155855,0.07055176935256509,0.04696717588487507,0.5584928512347866,0.581915916647587,0.3664848124183067,1.6859328502424322,11,31,153.0,104.0,85.0,481.0,188.0,R,ESP,0.3548387096774194
102300,Gouichi Motomura,0.5846578746587442,0.6849202722474266,0.47911446740858504,0.02036743652255347,0.0249082424980173,0.40928571428571425,0.5997696793540633,0.27983739837398375,2.2484651776939404,1,5,7.0,8.0,273.0,146.0,173.0,R,JPN,0.2
102306,Michael Kohlmann,0.6038131326263835,0.6977024839168587,0.48206567153828817,0.06130065867836225,0.04386554863987926,0.4527450980392157,0.6149160671580114,0.34792322576582485,1.8266907329463848,2,5,29.0,21.0,287.0,125.0,188.0,R,GER,0.4
102318,Andrei Pavel,0.6438194356808663,0.6840161776852302,0.4737508812129648,0.06679538126800941,0.02432669965292404,0.5357082074606585,0.6085481206028333,0.3537743688529713,1.8730434521856358,43,110,594.0,212.0,17.0,1325.0,183.0,R,ROU,0.39090909090909093
102344,Karol Kucera,0.5646876211578845,0.6292023427006836,0.5188963330238051,0.07275831474604244,0.05759275629184206,0.6067384370015949,0.5792411667298787,0.34101058803589557,1.7060855650710187,3,8,48.0,38.0,141.0,292.0,188.0,R,SVK,0.375
102358,Thomas Enqvist,0.5192285537132723,0.7372261927526761,0.4915114338042801,0.10500685003136477,0.05730501065664679,0.6548004555357497,0.6178791968042758,0.3779431715141757,1.721311343374841,7,19,153.0,90.0,67.0,573.0,190.0,R,SWE,0.3684210526315789
102374,Alex Corretja,0.5997895809041319,0.5807703471496575,0.44573095392767526,0.016048811869245307,0.037473139175925554,0.5505050505050505,0.5446135391955825,0.3613782829733077,1.5586859030160198,1,6,8.0,16.0,126.0,355.0,180.0,R,ESP,0.16666666666666666
102381,Werner Eschauer,0.5734243760022086,0.6881798881966987,0.48760263878465143,0.06989721329413434,0.037847734575799555,0.4978494623655914,0.5991382687058068,0.328580014695141,1.8934421156311152,8,32,180.0,104.0,52.0,654.0,188.0,R,AUT,0.25
102382,Julian Knowle,0.6553571428571429,0.6553369111508647,0.406318082788671,0.08214285714285714,0.02142857142857143,0.4642857142857143,0.5714285714285714,0.23876811594202899,2.441849816849817,0,2,10.0,3.0,257.0,148.0,188.0,L,AUT,0.0
102401,Scott Draper,0.6036471488710294,0.6851998848781937,0.4394607843137255,0.07993456548329243,0.035542536187839084,0.5267857142857143,0.5932461373374455,0.3058170383538031,1.970563944623646,0,4,36.0,16.0,787.0,16.0,178.0,L,AUS,0.0
102434,Vincent Spadea,0.584672020292224,0.6790045978785947,0.5051345067723483,0.04450295723665,0.038683695837004664,0.5597794541257073,0.6062555686383204,0.37913399562368805,1.673962406712603,79,187,625.0,543.0,19.0,1320.0,183.0,R,USA,0.42245989304812837
102450,Tim Henman,0.6181170119162575,0.7212160784067052,0.5208994740355861,0.06508627655079055,0.03586163660104528,0.6141555465650488,0.644112224405552,0.3798830437708874,1.7698503979253521,58,108,545.0,321.0,5.0,2380.0,185.0,R,GBR,0.5370370370370371
102456,Felix Mantilla,0.602879380951455,0.6727016646278128,0.4932604217097566,0.030188343894183158,0.034308608365797195,0.5464243447578393,0.5986246081129227,0.4022111991934305,1.6031943917914224,15,33,81.0,92.0,75.0,537.0,180.0,R,ESP,0.45454545454545453
102494,Tomas Behrend,0.5919208394816214,0.6625210735245675,0.4202170745628327,0.05221864582953806,0.04979010458026543,0.514967571546519,0.5644507806556632,0.3425213091583554,1.7743670271352583,11,37,145.0,135.0,74.0,515.0,193.0,R,GER,0.2972972972972973
102497,Mashiska Washington,0.7088607594936709,0.5535714285714286,0.782608695652174,0.0,0.0,0.875,0.620253164556962,0.234375,2.6464135021097044,0,1,0.0,0.0,864.0,11.0,180.0,R,USA,0.0
102512,Joseph Sirianni,0.5431834669370773,0.7142812216414182,0.4907761719096918,0.055804473270931014,0.03833297333250096,0.6219421101774043,0.6111421307698028,0.3311398449807396,2.005282266306708,6,17,79.0,48.0,143.0,315.0,175.0,R,AUS,0.35294117647058826
102538,Tuomas Ketola,0.6129032258064516,0.8421052631578947,0.4722222222222222,0.22580645161290322,0.053763440860215055,0.5,0.6989247311827957,0.21978021978021978,3.1801075268817205,0,1,21.0,5.0,225.0,174.0,185.0,R,FIN,0.0
102539,Bohdan Ulihrach,0.6353398036606487,0.6207251010660694,0.46559876642634446,0.0405559370820251,0.04725646074811291,0.567221114732427,0.5678136038393221,0.3056562209642591,2.2807249603281106,2,13,56.0,57.0,86.0,468.0,188.0,R,CZE,0.15384615384615385
102548,Juan Antonio Marin,0.5143329255638767,0.6463617513608954,0.4795912711885058,0.03934634426539164,0.020302310358311565,0.45825334086203645,0.5678411782322409,0.3905595818555457,1.5696708201173437,7,25,64.0,32.0,97.0,416.0,175.0,R,CRC,0.28
102558,Eric Taino,0.687605872388481,0.7458183990442055,0.5376811594202899,0.1281761716544325,0.0455957086391869,0.25,0.678994918125353,0.32745726495726496,2.330585356672313,1,2,13.0,5.0,255.0,141.0,175.0,L,PHI,0.5
102562,Jiri Novak,0.6486500829742542,0.6723709778052418,0.4977501145306348,0.06415624777434585,0.02535392107513277,0.5728576783404149,0.6112182294452612,0.3842755467852525,1.6763401914289249,33,71,344.0,141.0,23.0,1285.0,190.0,R,CZE,0.4647887323943662
102563,Thomas Johansson,0.5738067005122472,0.753657638799626,0.5229534601638204,0.11057777366136955,0.029210886449156717,0.6000242572990735,0.6558817981422811,0.3456133733309117,2.036082452339023,91,173,1486.0,410.0,13.0,1645.0,180.0,R,SWE,0.5260115606936416
102565,Alexander Waske,0.5922833824078301,0.7461494856324149,0.49834804868621957,0.12165966226562797,0.05550941954037532,0.5794899031010142,0.6443609645753263,0.30675774061978134,2.2826269985029386,19,56,593.0,263.0,89.0,455.0,188.0,R,GER,0.3392857142857143
102567,George Bastl,0.5981508800266835,0.6803133832671254,0.4569259206052346,0.08149688170899358,0.0429097788349356,0.5518821175564819,0.5950445398288255,0.3458165355961947,1.8087450047404419,12,36,225.0,115.0,119.0,370.0,183.0,R,SUI,0.3333333333333333
102571,Gregory Carraz,0.5744404125547107,0.7627173822005878,0.42577334714430626,0.132309445189655,0.06684738739775034,0.6340096453254348,0.6195003920767398,0.29665557438956924,2.1905814960141616,3,15,179.0,87.0,90.0,457.0,190.0,R,FRA,0.2
102610,Albert Costa,0.6724517256697179,0.6479424168012711,0.4863932940491839,0.03567006171246446,0.02885505720916286,0.53732701122407,0.5922117149918825,0.3640381564317332,1.7595052010251901,15,34,80.0,73.0,46.0,810.0,180.0,R,ESP,0.4411764705882353
