player_id,player_name,surface,first_serve_pct,first_serve_win_pct,second_serve_win_pct,ace_rate,df_rate,bp_save_pct,service_pts_won_pct,return_pts_won_pct,dominance_ratio,wins,total_matches,aces,dfs,rank,rank_points,height,hand,ioc,win_pct
100644,Alexander Zverev,Clay,0.6645335554024869,0.7229931891260195,0.5132846794336479,0.08634241673453066,0.045962329667230614,0.5732624234559219,0.6521694783051565,0.41139127015274024,1.6405641368247637,150,204,1312.0,762.0,3.0,7515.0,198.0,R,GER,0.7352941176470589
100644,Alexander Zverev,Grass,0.6715424944621895,0.7856415972736277,0.5227159482236763,0.13489413136557038,0.040755126683892265,0.6555299145299145,0.699234122311463,0.3595845957919673,2.0482449043518813,39,59,663.0,227.0,3.0,7350.0,198.0,R,GER,0.6610169491525424
100644,Alexander Zverev,Hard,0.6668105605384145,0.7607314823816806,0.5172350325887453,0.11956841240561333,0.046346845132947775,0.6174487747930655,0.6792623586113274,0.3762900237973739,1.8754524796440166,260,382,3539.0,1445.0,2.0,8240.0,198.0,R,GER,0.680628272251309
101404,Thomas Muster,Clay,0.5087719298245614,0.5172413793103449,0.2857142857142857,0.017543859649122806,0.03508771929824561,0.5384615384615384,0.40350877192982454,0.34615384615384615,1.165692007797271,0,1,1.0,2.0,1008.0,7.0,180.0,L,AUT,0.0
101404,Thomas Muster,Hard,0.6539074960127591,0.6125,0.4547511312217195,0.08173843700159489,0.050239234449760764,0.41666666666666663,0.5649920255183414,0.29536541889483064,2.106436595875654,0,2,10.0,6.0,974.0,7.0,180.0,L,AUT,0.0
101736,Andre Agassi,Carpet,0.6333333333333333,0.7368421052631579,0.4090909090909091,0.0,0.05,0.25,0.6166666666666667,0.29508196721311475,2.089814814814815,0,1,0.0,3.0,5.0,2275.0,180.0,R,USA,0.0
101736,Andre Agassi,Clay,0.5552478386467707,0.7457434545517604,0.45624293172760666,0.07191983797329306,0.04590813800741035,0.7224326599326599,0.6137856217313881,0.4136204014558933,1.5172842142796168,6,10,56.0,43.0,7.0,2275.0,180.0,R,USA,0.6
101736,Andre Agassi,Grass,0.5905027548209366,0.7088133640552996,0.544561552691252,0.10002601775329048,0.02743954698500153,0.5505681818181818,0.6407950719314356,0.3486948871077524,2.031053759611148,2,4,38.0,11.0,20.0,1330.0,180.0,R,USA,0.5
101736,Andre Agassi,Hard,0.5956293312375974,0.752004559356043,0.5835382072385342,0.09082872304431887,0.030114359146475294,0.6836503910033321,0.6820577717573622,0.4032925900059165,1.7497470396705799,40,52,371.0,125.0,6.0,2275.0,180.0,R,USA,0.7692307692307693
101868,Dick Norman,Carpet,0.5868140868140868,0.7940476190476191,0.453125,0.19471744471744473,0.05814905814905815,0.875,0.6533579033579033,0.3288775961113566,2.012561597120421,1,2,27.0,8.0,90.0,442.0,203.0,L,BEL,0.5
